key,val
bad service,bad service
pathetic service,bad service
poor service,bad service
disruption service,bad service
deduct amount,balance deduction
amount deduct,balance deduction
main balance,balance deduction
balance deduct,balance deduction
account deduct,balance deduction
balance deductionion,balance deduction
call history,billing payment
billing paymentment,billing payment
bill pay,billing payment
disruption internet,internet issue
internet problem,internet issue
internet connectivity,internet issue
internet slow,internet issue
slow internet,internet issue
data speed,internet issue
slow browser,internet issue
speed slow,internet issue
slow speed,internet issue
unable to browse,internet issue
connection internet,internet issue
internet connection,internet issue
internet speed,internet issue
page load,internet issue
bad internet,internet issue
poor internet,internet issue
international roaming,ir pack
amount refund,money refund
money back,money refund
network issue,network issue
network problem,network issue
poor network,network issue
connectivity issue,network issue
connectivity problem,network issue
coverage issue,network issue
network coverage,network issue
slow network,network issue
poor network,network issue
bad network,network issue
network connectivity,network issue
call drop,network issue
worst network,network issue
crack voice,network issue
voice crack,network issue
clarity voice,network issue
voice clarity,network issue
bar signal,network issue
call voice,network issue
call drop,network issue
call problem,network issue
poor signal,network issue
floor ground,network issue
indoor outdoor,network issue
number port,number port
vodafone port,number port
recharge app,recharge issue
app recharge,recharge issue
recharge number,recharge issue
number recharge,recharge issue
april recharge,recharge issue
recharge plan,recharge issue
recharge amount,recharge issue
change plan,recharge issue
incoming call,recharge issue
outgoing call,recharge issue
receive call,recharge issue
call outgoing,recharge issue
call incoming ,recharge issue
call receive,recharge issue
call number,recharge issue
change sim,sim service
new sim,sim service
card sim,sim service
sim card,sim service
